월일,탄생화 (月),탄생화(日),탄생화 (영문),꽃말,탄생석 (月),의미 (月),탄생석(日),의미 (日),탄생목,의미,별자리 (탄생좌),수호신,수호성,탄생색,색상 코드,색 이름,색 단어,퍼스널리티
9월 5일,뱀무 알로에 엉겅퀴,느릎나무,Elm,신뢰,사파이어,"진실, 정직, 성실",골드 펄,성숙,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#005243,철색 / 사이프러스,"허영심, 선악구별, 질서",조금씩 진리에다가가는 고결한 사람
9월 6일,뱀무 알로에 엉겅퀴,한련,Nasturtium,애국심,사파이어,"진실, 정직, 성실",조아사이트,영력의 상징,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#003D26,해송람색 / 브리티시 레이싱 그린,"자기자신, 노력",노력을 게을리하지 않는 노력가
9월 7일,뱀무 알로에 엉겅퀴,오렌지,Orange,새색시의 기쁨,사파이어,"진실, 정직, 성실",히아신스,안심,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#6EBDC2,연한물색 / 글래시어,"조화, 정숙, 순수",도움이 되는 것에서 삶의 보람을 느끼는 사람
9월 8일,뱀무 알로에 엉겅퀴,갓,Mustard,무관심,사파이어,"진실, 정직, 성실",아코아 펄,품격,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#67B5B7,아쿠아마린 / 파운틴 블루,"모험, 최정상, 임기응변",양심을 신조로 삼는 착실한 사람
9월 9일,뱀무 알로에 엉겅퀴,갓개매취,Michaelmas Daisy,추억,사파이어,"진실, 정직, 성실",아라고나이트,능력의 발휘,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#006069,딥 틸 블루 / 블루 라군,"배려, 예의, 건강",호기심을 계속 지닌 젊은사람
9월 10일,뱀무 알로에 엉겅퀴,흰색 과꽃,China Aster,믿는 마음,사파이어,"진실, 정직, 성실",댄버라이트,폭 넓은 지성,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#17184B,철감색 / 파우아,"냉정, 자기평가, 독창",진두지휘를 하는 뛰어난 경영자
9월 11일,뱀무 알로에 엉겅퀴,알로에,Aloe,꽃도 잎새도,사파이어,"진실, 정직, 성실",레인보우 플로라이트,소원 성취,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#003221,블루 플러스 / 다크 그린,"미식가, 사상가, 문재",무엇이든 알기 쉽게 표현하는 재능이 있는 사람
9월 12일,뱀무 알로에 엉겅퀴,클레마티스,Clematis,마음의 아름다움,사파이어,"진실, 정직, 성실",파이어라이트,운명적 인연,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#282B6E,멀베리 / 딥 코아마루,"큰 그릇, 지도자, 감성",자신이 나아가고 있는 길을 아는 식자
9월 13일,뱀무 알로에 엉겅퀴,버드나무,Weeping Willow,솔직,사파이어,"진실, 정직, 성실",골든 베릴,찬란했던 좋은 날,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#28285A,파우아,"꼼꼼함, 세련, 독창성",그림 같은 섬세한 로맨티스트
9월 14일,뱀무 알로에 엉겅퀴,마르멜로,Quince,유혹,사파이어,"진실, 정직, 성실",아이언 로즈,"용기, 구원의 힘",라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#BF783E,턴 / 브랜디 펀치,"착상, 노력, 철저추구",의문이 풀릴 때까지 조사하는 정열가
9월 15일,뱀무 알로에 엉겅퀴,다알리아,Dahlia,화려함,사파이어,"진실, 정직, 성실",파라이바 토르마린,원점 회귀,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#8A3B00,갈색 / 새들 브라운,"의지, 호기심, 경험",자기 주장이 강한 스트레이트한 사람
9월 16일,뱀무 알로에 엉겅퀴,용담,Gentina,슬픈 그대가 좋아,사파이어,"진실, 정직, 성실",프레나이트,건강미,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#BD6856,테라코타 / 선글로,"심정, 전통, 주의주장",호기롭고 대담한 사고방식의 선인
9월 17일,뱀무 알로에 엉겅퀴,에리카,Heath,고독,사파이어,"진실, 정직, 성실",다이옵테이스,재회,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#7DBB7C,회연두색 / 드 요크,"냉정침착, 직관, 배려",안정적이고 믿음직한 리더
9월 18일,뱀무 알로에 엉겅퀴,엉겅퀴,Thistle,엄격,사파이어,"진실, 정직, 성실",만다린 가넷,유복,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#BCCDDB,파우더블루 / 스핀들,"냉정, 온후독실, 위엄",후진의 지도가 특기인 온후한 사람
9월 19일,뱀무 알로에 엉겅퀴,사초,Carex,자중,사파이어,"진실, 정직, 성실",래쥴라이트,명상력,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#7C7684,라일락 헤이지 / 토파즈,"엄격, 일본풍, 소질개발",엄격함을 기본으로 원숙에 도달하는 노력함
9월 20일,뱀무 알로에 엉겅퀴,로즈메리,Rosemary,나를 생각해요,사파이어,"진실, 정직, 성실",블루 스피넬,사랑의 자극,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FFFCBF,라이트 레몬 / 콘 필드,"우수, 순수, 세련",민감한 감성을 가진 솔직한 사람
9월 21일,뱀무 알로에 엉겅퀴,사프란,Autumn Crocus,후회스런 청춘,사파이어,"진실, 정직, 성실",세레나이트,자기의식,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#E3EDC8,티 그린 / 티 그린,"고결, 신비주의, 고독",기품있고 티 없는 신비주의자
9월 22일,뱀무 알로에 엉겅퀴,퀘이킹 그라스,Quaking Grass,흥분,사파이어,"진실, 정직, 성실",지르콘,순수,라임나무,의심,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#EDEE9E,블루젼 / 포르타피노,"즐거운 대화, 쾌활",기분 좋은 분위기를 만드는 사람
9월 23일,뱀무 알로에 엉겅퀴,주목,Yew Tree,고상함,사파이어,"진실, 정직, 성실",아메트린,빛과 그림자,감람나무,지혜,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#EBE960,존 시트론 / 허니서클,"공정함, 자력, 자기희생",보람을 제대로 느끼는 야심가
9월 24일,뱀무 알로에 엉겅퀴,오렌지,Orange,새색시의 기쁨,사파이어,"진실, 정직, 성실",디맨토이드,질주,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#D7CF3A,황록색 / 와틀,"승부, 호기, 직관",규율을 타파하고 돌진하는 정열가
9월 25일,뱀무 알로에 엉겅퀴,메귀리,Animated Oat,음악을 좋아함,사파이어,"진실, 정직, 성실",바이컬러 토르마린,대칭과 조화,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#FDB86D,선 오렌지 / 맥 앤 치즈,"배려, 구상, 순발력",주위에 영향받기 쉬운 순진한 사람
9월 26일,뱀무 알로에 엉겅퀴,감,Date Plum,자연미,사파이어,"진실, 정직, 성실",오렌지 다이아몬드,약속된 사랑,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#F37F44,탄저린 오렌지 / 플라멩코,"책임감, 숙고, 오리지널",모방을 싫어하는 독특한 발상을 하는 사람
9월 27일,뱀무 알로에 엉겅퀴,떡갈나무,Oak,사랑은 영원히,사파이어,"진실, 정직, 성실",트라피체 사파이어,자유로운 삶,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#F16F4F,타이거 릴리 / 번트 시에나,"생명력, 선구자, 용기",기상천외한 발상을 하는 선구자
9월 28일,뱀무 알로에 엉겅퀴,색비름,Love-Lies a Bleeding,애정,사파이어,"진실, 정직, 성실",이메시스트 쿼츠,냉정한 사고,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#D3381C,비색 / 할리 데이비슨 오렌지,"꿈, 존경, 구상",고상한 분위기의 존경할 만한 사람
9월 29일,뱀무 알로에 엉겅퀴,사과,Apple,명성,사파이어,"진실, 정직, 성실",임페리얼 토파즈,탁월한 힘,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#E95388,오페라 / 다크 핑크,"천진난만, 강인한 정신",한 가지에 집중할 수 있는 사람
9월 30일,뱀무 알로에 엉겅퀴,삼나무,Cedar,웅대,사파이어,"진실, 정직, 성실",블루스타 사파이어,지식의 인도,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,수성,,#89438C,아머런스 퍼플 / 비비드 바이올렛,"현실, 본질, 탐구심",아름다운 토지를 추구하는 로맨티스트
10월,,,,,,,,,,,,,,,,,,
10월 1일,살구     희향 부처꽃,빨강국화,Chrysanthemum,사랑,오팔,"희망, 청순,  신과 사람의 사랑",엘바이트,재현,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,금성,,#EE7948,황단색 / 번트 시에나,"훈련, 생명력, 리듬감",예술과 스포츠에뛰어난 활발한 사람
10월 2일,살구     희향 부처꽃,살구,Apricot,아가씨의 수줍음,오팔,"희망, 청순,  신과 사람의 사랑",하이 쿼츠,달성,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,금성,,#8F2E14,변병색 / 번트 앰버,"양기, 창조, 미소",누구에게나 사랑받는 따뜻한 마음의 소유자
10월 3일,살구     희향 부처꽃,단풍나무,Maple,자제,오팔,"희망, 청순,  신과 사람의 사랑",바이올렛 다이아몬드,매력적인 관계,개암나무,비범,천칭자리,사랑과 미의 여신 아프로디테,금성,,#ED6D35,캐럿 오렌지 / 소르버스,"파워, 충실, 도전",홀로 있는 것을 싫어하는 사교적인 사람
10월 4일,살구     희향 부처꽃,홉,Common Hop,순진무구,오팔,"희망, 청순,  신과 사람의 사랑",오팔 재스퍼,정확한 간격,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#EC5415,플레임 오렌지 / 퍼시미온,"감성, 영리, 미모",감정을 숨긴 정열가
10월 5일,살구     희향 부처꽃,종려나무,Windmill Palm,승리,오팔,"희망, 청순,  신과 사람의 사랑",라리마,조용한 관찰,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#C78A77,정자색 / 펭드스파,"보수적, 의무감, 책임감",변덕을 용서하지 않는 합리주의자
10월 6일,살구     희향 부처꽃,개암나무,Hazel,화해,오팔,"희망, 청순,  신과 사람의 사랑",크리소프레이즈,"풍요, 기쁨",마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#BE8F68,시나몬 / 팔로,"몸상태, 정신안정, 안녕",비범한 것을 직관적으로 알아채는 사람
10월 7일,살구     희향 부처꽃,전나무,Fir,고상함,오팔,"희망, 청순,  신과 사람의 사랑",로드나이트,자신을 높임,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#946C45,카페오레 / 다크 탄,"지식, 듬직함, 결단력",요리를 좋아하는 왕성한 생활력의 소유자
10월 8일,살구     희향 부처꽃,파슬리,Parsley,승리,오팔,"희망, 청순,  신과 사람의 사랑",블루 칼세도니,추억,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#B55233,벽돌색 / 레드 스테이지,"안락, 행복, 자유",자연과 한 몸이 되는 자유로운 사람
10월 9일,살구     희향 부처꽃,회향,Fennel,극찬,오팔,"희망, 청순,  신과 사람의 사랑",블루 오닉스,좋은 소식,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#7B411C,테라 로자 / 러셋,"이론적, 감수성, 위험회피",새로운 경지를 여는 경이로운 사람
10월 10일,살구     희향 부처꽃,멜론,Fennel,포식,오팔,"희망, 청순,  신과 사람의 사랑",토르마린 캣츠 아이,개안,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#BA8B40,오커 / 마리골드,"지력, 선견지명, 이해",끊이지 않는 탐구심의 소유자
10월 11일,살구     희향 부처꽃,부처꽃,Lythrum,사랑의 슬픔,오팔,"희망, 청순,  신과 사람의 사랑",로드라이트,사랑의 행동력,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#B76651,카멜 / 플레임 피,"기억력, 상상력, 재능",충동적인 언행을 하지않는 정직한 사람
10월 12일,살구     희향 부처꽃,월귤,Bilberry,반항심,오팔,"희망, 청순,  신과 사람의 사랑",파티컬러드 사파이어,증오의 완화,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#823616,번트 시에나 / 페루 탄,"개성, 장대, 상상력",소박한 상냥함을 가진 그윽한 사람
10월 13일,살구     희향 부처꽃,조팝나무,Spirea,단정한 사랑,오팔,"희망, 청순,  신과 사람의 사랑",해마타이트,승리의 인도,마가목,민감,천칭자리,사랑과 미의 여신 아프로디테,금성,,#6D3C32,율피차색 / 메탈릭 코퍼,"스태미너, 신비적, 보수적",항상 음악과 함께하는 건강한 사람
10월 14일,살구     희향 부처꽃,흰색 국화,Chrysanthemum,진실,오팔,"희망, 청순,  신과 사람의 사랑",트라피체 에메랄드,회전,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#622D18,세피아 / 베이커 초콜릿,"교양, 청순함, 독창성",풍부한 감성을 가진 변덕스러운 사람
10월 15일,살구     희향 부처꽃,스위트 바즐,Sweet Basil,좋은 희망,오팔,"희망, 청순,  신과 사람의 사랑",어벤춰린 쿼프,사랑의 기회,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#BB5520,대자색 / 파이어리오렌지,"모성애, 자기발전, 동찰력",재치가 넘치는 총명한 사람
10월 16일,살구     희향 부처꽃,이끼장미,Moss Rose,순진무구,오팔,"희망, 청순,  신과 사람의 사랑",화이트 오닉스,성공,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#E9BC00,토파즈 / 골든 포피,"우등생, 입념, 신중",자신다움을 나타내는 재인
10월 17일,살구     희향 부처꽃,포도,Grape,신회,오팔,"희망, 청순,  신과 사람의 사랑",마그네타이트,두려움을 없애다,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#D7D0CA,오키드 화이트 / 스월,"깨끗함, 이해력, 배려",온후한 마음과 도량이 넓은 사람
10월 18일,살구     희향 부처꽃,넌출월귤,Cranberry,마음의 고통을 위로하다,오팔,"희망, 청순,  신과 사람의 사랑",블루 아게이트,예술성,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#C9C9C4,펄 그레이 / 셀레스트,"화발, 우미, 위엄",정과 동이 융화한 매력적인 사람
10월 19일,살구     희향 부처꽃,빨강 봉선화,Balsam,날 건드리지 마세요,오팔,"희망, 청순,  신과 사람의 사랑",스카라베,"부활, 영원한 생명",단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#AFAFB0,은회색 / 스푼 펄,"신중함, 예의, 기품",배려 깊은 기품이 넘치는 사람
10월 20일,살구     희향 부처꽃,마,Indian Hemp,운명,오팔,"희망, 청순,  신과 사람의 사랑",캘커시더라이트,소원,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#7D7D7D,마우스그레이 / 그레이,"자연, 관습, 시행착오",안정된 인생을 보내는 평화주의자
10월 21일,살구     희향 부처꽃,엉겅퀴,Thistle,독립,오팔,"희망, 청순,  신과 사람의 사랑",쇼울,사랑의 충전,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#9E8B8E,회자색 / 비너스,"종교적, 금욕, 서정성",신성한 사색으로 인간성을 회복하는 사람
10월 22일,살구     희향 부처꽃,벗풀,Arrow-Head,신뢰,오팔,"희망, 청순,  신과 사람의 사랑",레피도라이트,번혁,단풍나무,독립,천칭자리,사랑과 미의 여신 아프로디테,금성,,#585C5B,석판색 / 케이프 코드,"문화, 선동, 도희적",일에 몰두하는 합리주의자
10월 23일,살구     희향 부처꽃,흰독말풀,Thom Apple,경애,오팔,"희망, 청순,  신과 사람의 사랑",튤라이트,"신비성, 회복",단풍나무,독립,전갈자리,죽음의 신 하이데스,명왕성,,#D0AF4C,가지색 / 선 댄스,"자신, 기억력, 불굴의 정신",구상을 정제하여 실현하는 자신가
10월 24일,살구     희향 부처꽃,매화,Prunus Mume,고결한 마음,오팔,"희망, 청순,  신과 사람의 사랑",인디고라이트,예술적 센스,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#646F2D,시 모스 / 레인 포레스트,"정열, 협력, 꿈",기초적인 사고가 확실한 사람
10월 25일,살구     희향 부처꽃,단풍나무,Aceracede,염려,오팔,"희망, 청순,  신과 사람의 사랑",레드스피넬,호기심,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#9D8E87,로즈 그레이 / 조르바,"친절, 경의, 경숙",듬직하게 행동하는 침착한 사람
10월 26일,살구     희향 부처꽃,수영,Rumex,애정,오팔,"희망, 청순,  신과 사람의 사랑",타이거 아이 쿼츠,꿰뚫어보는 능력,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#548778,라이트 터콰이즈 / 커티 사크,"자력본원, 지도자, 활로",항상 냉정하고 사려깊게 행동하는 사람
10월 27일,살구     희향 부처꽃,들장미,Briar Rose,시,오팔,"희망, 청순,  신과 사람의 사랑",오우윈,성스러운 업적,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#476B6B,녹서랍색 / 택스 브레이크,"계속, 평온, 자연",항상 새로운 목표에 도전하는 사람
10월 28일,살구     희향 부처꽃,무궁화,Rose of Sharon,미묘한 아름다움,오팔,"희망, 청순,  신과 사람의 사랑",콘플라워 블루 사파이어,완전한 직선,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#6C6A6D,구익자색 / 럼,"긍정적, 결벽, 기품",행동으로 배우는 실천주의자
10월 29일,살구     희향 부처꽃,해당화,Crab Apple,이끄시는 대로,오팔,"희망, 청순,  신과 사람의 사랑",메이트릭스 터콰이즈,"통찰력, 상상",호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#665951,율색 / 카불,"고집, 건강, 온건",온건하지만 자신의 생각을 굽히지 않는 사람
10월 30일,살구     희향 부처꽃,로벨리아,Lobelia,악의,오팔,"희망, 청순,  신과 사람의 사랑",핀파이어 오팔,올바른 방향성,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#83515D,빈야드 / 캐논 핑크,"경험, 상담상대",문제의 해결에 협력하는 믿음직한 사람
10월 31일,살구     희향 부처꽃,칼라,Calla,열혈,오팔,"희망, 청순,  신과 사람의 사랑",호크 아이,결단과 전진,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#D1BADA,라일락 / 프렐류드,"재치, 이론적, 용맹",성공하기 위해 불타는 정열가
11월,,,,,,,,,,,,,,,,,,
11월 1일,루피너스 부용     머위,서양모과,Medlar,유일한 사랑,토파즈,"우정, 인내, 결백한 마음, 부활",시나몬 스톤,성공의 찬스,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#BF794E,낙타색 / 브랜디펀치,"경영력, 자신과 긍지, 참을성",자신과 기운이 넘치는 뛰어난 재능을 선보이는 사람
11월 2일,루피너스 부용     머위,루피너스,Lupinus,모성애,토파즈,"우정, 인내, 결백한 마음, 부활",블랙 오닉스,종교적 사색,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#8B724A,소록색 / 섀도우,"동찰력, 현실파, 유연성",결코 흔들리지 않는 강한 의지의 소유자
11월 3일,루피너스 부용     머위,브리오니아,Bryonia,거절,토파즈,"우정, 인내, 결백한 마음, 부활",골든 사파이어,"빛나는 매력, 광명",호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#583822,흑차색 / 카너비 탄,"공정, 고결, 신뢰",사람들의 도움을 소중히 하는 사람
11월 4일,루피너스 부용     머위,골고사리,Hart's-Tongue Feen,진실의 위안,토파즈,"우정, 인내, 결백한 마음, 부활",셉터 쿼츠,탄생의 기쁨,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#504946,토프 / 새들,"감각, 장인기술, 지고",자신의 일에 긍지가있는 자신가
11월 5일,루피너스 부용     머위,단양쑥부쟁이,Fig Marigold,공훈,토파즈,"우정, 인내, 결백한 마음, 부활",네프라이트,시선의 매력,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#4E454A,차콜 그레이 / 리버,"신념, 남성적, 예의범절",의리와 인정이 두터운 사람돕기를 좋아하는 사람
11월 6일,루피너스 부용     머위,등골나물,Agrimony Eupatoire,주저,토파즈,"우정, 인내, 결백한 마음, 부활",스패러라이트,조화와 중용,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#FFCC7B,죤 도너 풀 / 샤르도네,"배려, 예감, 밸런스",사고와 행동의 밸런스가 잡힌 사람
11월 7일,루피너스 부용     머위,메리골드,Marigold,이별의 슬픔,토파즈,"우정, 인내, 결백한 마음, 부활",피트 앰버,"포용, 큰사랑",호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#FEB75B,선 플라워 / 텍사스 로즈,"타이밍, 미학 센스",사물을 양면에서 바라보는 창조자
11월 8일,루피너스 부용     머위,가는동자꽃,Lychnis Flos-Cuculi,기지,토파즈,"우정, 인내, 결백한 마음, 부활",레드 토파즈,생명과 번영,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#F5811E,너스터섬 오렌지 / 펌킨,"조직,밸런스, 협조성",인간관계의 예민함을 중시하는 사람
11월 9일,루피너스 부용     머위,몰약의 꽃,Myrrh,진실,토파즈,"우정, 인내, 결백한 마음, 부활",토터스 쉘,"장수, 심원",호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#CD5E3C,벚나무색 / 엑스터시,"낙천주의,대담, 향상심",자기자신의 힘을 믿는 사람
11월 10일,루피너스 부용     머위,부용,Hibiscus Mutabilis,섬세한 아름다움,토파즈,"우정, 인내, 결백한 마음, 부활",퍼실,선조의 가호,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#8D6029,타바코 브라운 / 러스티 네일,"의지, 자신 친밀",숨겨온 비밀도 잘 들어주는 상냥한 사람
11월 11일,루피너스 부용     머위,흰동백,Camellia,비밀스런 사랑,토파즈,"우정, 인내, 결백한 마음, 부활",블랙 다이아몬드,행복의 시작,호두나무,정열,전갈자리,죽음의 신 하이데스,명왕성,,#FFDFAC,페일 크림 / 나바조 화이트,"용의주도, 창조력, 조용함",수많은 품격있는 감성의 소유자
11월 12일,루피너스 부용     머위,레몬,Lemon,진심으로 사모함,토파즈,"우정, 인내, 결백한 마음, 부활",바이올렛 사파이어,화려한 변신,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#DCD3B2,모래색 / 화이트 록,"건강, 숙련, 예술",노력과 정진으로 정점을 갈고 닦는 사람
11월 13일,루피너스 부용     머위,레몬 버베나,Lemon Verbena,인내,토파즈,"우정, 인내, 결백한 마음, 부활",크리스털 오팔,내면의 충실함,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#9FA09E,애쉬 그레이 / 델타,"건실함, 공정한 판단, 일",시간을 아끼며 일에 몰두하는 사람
11월 14일,루피너스 부용     머위,소나무,Pine,불로장생,토파즈,"우정, 인내, 결백한 마음, 부활",라벤더 제이드,약간의 소문,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#55461B,건 메탈 / 브론즈 올리브,"스태미너, 모성본능",감정에 치우치지 않는 성실하고 보수적인 사람
11월 15일,루피너스 부용     머위,황금싸리,Crown Vetch,겸손,토파즈,"우정, 인내, 결백한 마음, 부활",크림슨 코랄,관용과 냉정한 애정,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#473A17,먹색 / 마드라스,"신비적, 완고, 독립심",꿈과 희망이 가득한 정열가
11월 16일,루피너스 부용     머위,크리스마스 로즈,Christmas Rose,추억,토파즈,"우정, 인내, 결백한 마음, 부활",암모나이트,가변하는 사고,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#FABABA,벚꽃조개색 / 유어 핑크,"사랑, 로맨틱, 품격",교양 있는 세련된 취향의 사람
11월 17일,루피너스 부용     머위,머위,Sweet-Scented Tussilage,공평,토파즈,"우정, 인내, 결백한 마음, 부활",스그린 루틸 쿼츠,기회를 잡다,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#DA81B2,오키드 핑크 / 코비,"단아, 기쁨, 헌신",대가없는 헌신적인 사랑의 소유자
11월 18일,루피너스 부용     머위,산나리,Hill Lily,장엄,토파즈,"우정, 인내, 결백한 마음, 부활",암소피라이트,"관용, 풍부한 사랑",밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#B4766B,매쉬 로즈 / 코랄 트리,"신망, 도전, 육성",지식과 학문을 익히는 박식한 사람
11월 19일,루피너스 부용     머위,범의귀,Aaron's Beard,비밀,토파즈,"우정, 인내, 결백한 마음, 부활",블루 토파즈,교양과 학문,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#B1585C,클라렛 / 히피 핑크,"교양, 감성, 정신력",품위 있고 세상에 둘도 없는 절세미인
11월 20일,루피너스 부용     머위,뷰글라스,Bugloss,진실,토파즈,"우정, 인내, 결백한 마음, 부활",헤소나이트,자기 함시의 힘,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#7D7B83,터부 그레이 / 토파즈,"변덕, 대범, 예술",불타는듯한 생명력의 소유자
11월 21일,루피너스 부용     머위,초롱꽃,Campanula,성실,토파즈,"우정, 인내, 결백한 마음, 부활",화이트 제다이트,정화된 영혼,밤나무,정직,전갈자리,죽음의 신 하이데스,명왕성,,#C8CEAC,페일 살로 / 오리노코,"탐색, 친구, 자만",두번째는 되기 싫은 자신가
11월 22일,루피너스 부용     머위,매자나무,Berberis,까다로움,토파즈,"우정, 인내, 결백한 마음, 부활",옐로우 오팔,숨은 본능,사시나무,야망,전갈자리,죽음의 신 하이데스,명왕성,,#BBC8AC,말차색 / 페일 리프,"신조, 이상, 기량",목표달성을 위해 맹렬히 행동하는 사람
11월 23일,루피너스 부용     머위,양치,Fern,성실,토파즈,"우정, 인내, 결백한 마음, 부활",케시 펄,일시적인 휴식,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#9E9478,회즙색 / 탤로,"자기의식,책임감, 집중력",새로운 일에 의욕을 불태우는 도전자
11월 24일,루피너스 부용     머위,가막살나무,Viburnum,사랑은 죽음보다 강하다,토파즈,"우정, 인내, 결백한 마음, 부활",코발트 캘사이트,초조감의 해방,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#7B7C7D,납색 / 레이븐,"감정회피, 고독, 냉정침착",항상 감정을 조절하는 방관자
11월 25일,루피너스 부용     머위,개옻나무,Rhus Continus,현명,토파즈,"우정, 인내, 결백한 마음, 부활",레드 앰버,소악마의 매력,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#39423F,코듀로이,"보수적, 변덕, 엄숙",위엄 있고 신비적인 사람
11월 26일,루피너스 부용     머위,서양톱풀,Yarrow,지도,토파즈,"우정, 인내, 결백한 마음, 부활",스캐포라이트,미래 지향,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#FDB58F,패일 애플리콧 / 맨디스 핑크,"따듯함, 중립, 예술",사회에 잘 순응하는 실전파
11월 27일,루피너스 부용     머위,붉나무,Phus,신앙,토파즈,"우정, 인내, 결백한 마음, 부활",페트리파이드 우드,융합,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#FCE2C4,살구색 / 비스크,"자활력, 현실주의, 정직",현상에서 본질을 이끌어 내는 이론파
